Year_Month,Card_type,Line,Trip
Jan-17,Adult,F6 Mosman Bay,56086
Jan-17,Child/Youth,F6 Mosman Bay,5776
Jan-17,Concession,F6 Mosman Bay,1426
Jan-17,Employee,F6 Mosman Bay,332
Jan-17,Free Travel,F6 Mosman Bay,79
Jan-17,School Student,F6 Mosman Bay,3
Jan-17,Senior/Pensioner,F6 Mosman Bay,13209
Jan-17,Sgl Trip Ferry Adult,F6 Mosman Bay,1705
Jan-17,Sgl Trip Ferry Child/Youth,F6 Mosman Bay,513
Jan-17,Adult,F7 Eastern Suburbs,120926
Jan-17,Child/Youth,F7 Eastern Suburbs,14079
Jan-17,Concession,F7 Eastern Suburbs,2619
Jan-17,Employee,F7 Eastern Suburbs,485
Jan-17,Free Travel,F7 Eastern Suburbs,213
Jan-17,School Student,F7 Eastern Suburbs,9
Jan-17,Senior/Pensioner,F7 Eastern Suburbs,18851
Jan-17,Sgl Trip Ferry Adult,F7 Eastern Suburbs,4328
Jan-17,Sgl Trip Ferry Child/Youth,F7 Eastern Suburbs,1158
Feb-17,Adult,118F Newcastle,20864
Feb-17,Child/Youth,118F Newcastle,2771
Feb-17,Concession,118F Newcastle,915
Feb-17,Employee,118F Newcastle,403
Feb-17,Free Travel,118F Newcastle,285
Feb-17,School Student,118F Newcastle,625
Feb-17,Senior/Pensioner,118F Newcastle,8420
Feb-17,Adult,F1 Manly,311624
Feb-17,Child/Youth,F1 Manly,20435
Feb-17,Concession,F1 Manly,9121
Feb-17,Employee,F1 Manly,1846
Feb-17,Free Travel,F1 Manly,663
Feb-17,School Student,F1 Manly,361
Feb-17,Senior/Pensioner,F1 Manly,60911
Feb-17,Sgl Trip Ferry Adult,F1 Manly,30670
Feb-17,Sgl Trip Ferry Child/Youth,F1 Manly,2428
Feb-17,Adult,F2 Taronga Zoo,64125
Feb-17,Child/Youth,F2 Taronga Zoo,6974
Feb-17,Concession,F2 Taronga Zoo,2006
Feb-17,Employee,F2 Taronga Zoo,252
Feb-17,Free Travel,F2 Taronga Zoo,113
Feb-17,School Student,F2 Taronga Zoo,11
Feb-17,Senior/Pensioner,F2 Taronga Zoo,8635
Feb-17,Sgl Trip Ferry Adult,F2 Taronga Zoo,4536
Feb-17,Sgl Trip Ferry Child/Youth,F2 Taronga Zoo,621
Feb-17,Adult,F3 Parramatta River,173710
Feb-17,Child/Youth,F3 Parramatta River,10586
Feb-17,Concession,F3 Parramatta River,4521
Feb-17,Employee,F3 Parramatta River,833
Feb-17,Free Travel,F3 Parramatta River,284
